2120070430,12789928.5879284,3543060.2911532,0
7820080725,12956326.8105894,4863999.14184448,0
7820080725,12956340.8368452,4864000.88531053,1
7820080725,12956355.8649765,4864001.32117709,2
7820080725,12956371.6723442,4864001.6117548,3
7820080725,12956386.7004755,4864002.483488,4
7820080727,13034610.9066559,4834832.24220663,0
7820080727,13034520.4039099,4834829.9243926,1
7820080727,13034430.5690808,4834827.46171579,2
7820080727,13034340.1776543,4834824.1298599,3
7820080727,13034250.8994227,4834816.74183558,4
8520090412,12928848.5961625,4875701.93786668,0
8520090412,12928842.2509515,4875702.95608937,2
8920080414,12963351.3673105,4864264.00690491,3
8920080508,12949628.6389047,4863708.51033578,0
8920080508,12949654.6097419,4863709.48374245,1
8920080508,12949680.5805791,4863710.45714921,2
8920080508,12949706.0059508,4863711.16904377,3
8920080508,12949731.0528363,4863711.9099953,4
11520080501,12998968.5875659,4838692.23740296,1
11520080501,12998815.3451549,4838780.39233796,4
11520080507,12978562.9790629,4852573.85445451,0
11520080507,12978562.9790629,4852573.85445451,1
11520080507,12978567.0644882,4852573.60774744,2
11520080507,12978571.8846222,4852573.37555255,3
11520080507,12978576.8939993,4852573.12884548,4
11520080508,12978718.82635,4852559.58899058,0
11520080508,12978721.7985804,4852559.34228386,1
11520080508,12978726.4406032,4852559.09557713,2
11520080508,12978733.1197726,4852558.84887042,3
11520080508,12978738.6857472,4852558.36996918,4
11520080513,12978708.0728872,4852569.48628892,0
11520080513,12978710.2881451,4852570.70531168,1
11520080513,12978713.0822643,4852570.45860468,2
11520080513,12978718.6482388,4852570.22640986,3
11520080513,12978724.5815677,4852573.85445451,4
11520080514,12967349.2212898,4866529.61118329,0
11520080514,12967368.7022007,4866503.69961328,1
11520080514,12967388.1831116,4866478.26768384,2
11520080514,12967406.9181819,4866453.56244338,3
11520080514,12967424.1727029,4866430.54302763,4
11520080515,12972835.2239073,4854916.64326799,0
11520080515,12972841.9030767,4854775.5961635,3
11520080521,12978451.2922178,4852583.2873768,0
11520080521,12978460.9436176,4852584.49188906,1
11520080521,12978468.1793845,4852584.97079157,2
11520080521,12978473.7453591,4852585.46420629,3
11520080521,12978477.6415413,4852585.71091367,4
11520080529,12978646.1013267,4852573.37555255,0
11520080529,12978647.0252785,4852573.85445451,1
11520080529,12978651.4780581,4852573.37555255,2
11520080529,12978655.3742403,4852573.12884548,3
11520080529,12978657.7898732,4852572.88213842,4
11520080603,12978555.9325391,4852577.48250049,0
11520080603,12978560.1960756,4852577.23579332,1
11520080603,12978567.4318425,4852576.75689119,2
11520080603,12978575.41345,4852575.78457481,3
11520080603,12978582.2818626,4852575.05896563,4
11520080605,12978723.1010185,4852561.9980095,0
11520080605,12978725.6947626,4852561.51910811,1
11520080605,12978727.9211524,4852561.27240133,2
11520080605,12978731.2607371,4852560.54679321,3
11520080605,12978736.4593574,4852560.06789188,4
11520080606,12968614.9127682,4864845.42720904,4
11520080611,12978560.3853188,4852572.15652945,0
