81023,12948585.2079217,4867017.54027987,18453
81023,12948585.6531996,4867019.2842763,18455
81114,12949183.3275457,4865818.76058845,18450
81114,12949192.9010219,4865917.1396465,18453
81114,12949187.7803253,4865936.17617951,18455
81212,12948890.7799239,4865947.0749744,18450
81212,12948908.1457645,4865993.57663375,18453
81212,12948921.7267424,4866046.1818986,18455
90330,12949152.0467688,4866590.70637001,18450
90330,12949154.3844781,4866570.21531636,18452
90330,12949154.2731586,4866551.90419784,18455
90402,12949116.2018928,4867353.99193555,18450
90402,12949117.9830046,4867327.24978826,18453
90402,12949119.3188385,4867302.39709644,18455
90403,12948557.15541,4865566.35083464,18450
90403,12948557.4893685,4865565.91489934,18452
90403,12948557.4893685,4865565.91489934,18454
90403,12948557.600688,4865566.06021111,18455
90404,12945714.9461711,4863350.30316361,18452
90404,12945664.1844833,4863372.38564589,18454
90420,12948769.7756374,4867128.13932763,18451
90420,12948755.1927841,4867120.00059089,18453
90421,12949147.7053087,4866937.60743864,18450
90421,12949146.7034332,4866953.88461955,18453
90421,12949146.4807943,4866972.48714471,18455
90422,12948966.2545387,4867381.60618503,18451
90422,12948966.5884971,4867380.87949327,18452
90422,12948968.0356505,4867385.38498304,18454
90426,12948679.7181694,4864701.20227259,18450
90426,12948701.4254701,4864705.85184494,18452
90426,12948715.2290869,4864713.69800322,18455
90427,12948960.0206472,4867378.84475662,18451
90427,12948963.4715514,4867369.68844688,18453
90428,12949454.5018253,4864905.64021455,18450
90428,12949454.3905058,4864905.78551665,18452
90428,12949454.3905058,4864905.78551665,18454
90428,12949454.3905058,4864905.64021455,18455
90501,12949092.8247997,4867403.26162392,18452
90501,12949107.7416115,4867405.29636558,18454
90503,12948761.4266756,4867017.39494684,18450
90503,12948742.8363206,4867014.63361981,18452
90503,12948725.2478411,4867017.54027987,18455
90504,12949092.1568828,4866718.44942471,18451
90504,12949111.5264742,4866720.62935459,18454
90507,12949462.2941896,4864750.89468983,18451
90507,12949462.7394676,4864745.37329785,18453
90508,12949426.3379941,4864656.0143548,18455
90524,12948709.7744319,4867423.75439822,18451
90524,12948707.2140836,4867440.17771598,18454
90530,12951756.3662559,4857135.16520439,18450
